timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1416843153354,224,HTTP Request,200,OK,Thread Group 1-9,text,true,19120,10,10,25
1416843153377,224,HTTP Request,200,OK,Thread Group 1-10,text,true,19050,10,10,19
1416843153404,216,HTTP Request,200,OK,Thread Group 1-3,text,true,19119,10,10,19
1416843153594,215,HTTP Request,200,OK,Thread Group 1-8,text,true,19129,10,10,19
1416843153632,216,HTTP Request,200,OK,Thread Group 1-2,text,true,19034,10,10,18
1416843153737,221,HTTP Request,200,OK,Thread Group 1-7,text,true,19036,10,10,25
1416843153900,237,HTTP Request,200,OK,Thread Group 1-6,text,true,19102,10,10,26
1416843154476,218,HTTP Request,200,OK,Thread Group 1-5,text,true,19086,10,10,19
1416843154531,220,HTTP Request,200,OK,Thread Group 1-1,text,true,19056,10,10,23
1416843154548,225,HTTP Request,200,OK,Thread Group 1-4,text,true,19056,10,10,24
1416843154580,217,HTTP Request,200,OK,Thread Group 1-9,text,true,19088,10,10,23
1416843154603,216,HTTP Request,200,OK,Thread Group 1-10,text,true,19065,10,10,18
1416843154622,211,HTTP Request,200,OK,Thread Group 1-3,text,true,19054,10,10,19
1416843154811,221,HTTP Request,200,OK,Thread Group 1-8,text,true,19065,10,10,18
1416843154849,215,HTTP Request,200,OK,Thread Group 1-2,text,true,19058,10,10,19
1416843154959,234,HTTP Request,200,OK,Thread Group 1-7,text,true,19108,10,10,25
1416843155139,231,HTTP Request,200,OK,Thread Group 1-6,text,true,19088,10,10,24
1416843155696,213,HTTP Request,200,OK,Thread Group 1-5,text,true,19046,10,10,19
1416843155752,212,HTTP Request,200,OK,Thread Group 1-1,text,true,20416,10,10,24
1416843155774,214,HTTP Request,200,OK,Thread Group 1-4,text,true,19062,10,10,24
1416843155798,220,HTTP Request,200,OK,Thread Group 1-9,text,true,19098,10,10,25
1416843155821,217,HTTP Request,200,OK,Thread Group 1-10,text,true,19139,10,10,20
1416843155834,233,HTTP Request,200,OK,Thread Group 1-3,text,true,19141,10,10,32
1416843156033,221,HTTP Request,200,OK,Thread Group 1-8,text,true,20320,10,10,20
1416843156065,219,HTTP Request,200,OK,Thread Group 1-2,text,true,19090,10,10,19
1416843156195,218,HTTP Request,200,OK,Thread Group 1-7,text,true,19112,10,10,24
1416843156371,217,HTTP Request,200,OK,Thread Group 1-6,text,true,19095,10,10,24
1416843156910,222,HTTP Request,200,OK,Thread Group 1-5,text,true,19055,10,10,23
1416843156966,229,HTTP Request,200,OK,Thread Group 1-1,text,true,19070,10,10,23
1416843157019,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19104,10,10,26
1416843157039,212,HTTP Request,200,OK,Thread Group 1-10,text,true,19147,10,10,19
